Latitude,Longitude
31.92,75.27
31.63661,74.87476
31.38011,75.38105
31.32556,75.57917
31.5270331,75.9138922
31.13183,76.13328
31.3630621,76.3302626
30.9016715,75.8355965
30.8255083,75.1550077
30.92574,74.61311
30.67238,74.75835
29.98844,75.40167
30.24608,75.84686
30.205159,74.9474236
29.92009,73.87496
29.577004,74.3373786
28.0205156,73.302896
28.30415,74.96718
28.12559,75.39797
27.5655302,76.6129902
27.21731,77.49009
26.69286,77.87968
26.49831,77.02755
26.02301,76.34408
26.89,76.33584
26.9248218,75.7916181
27.61206,75.13996
27.225521,73.696839
26.7371684,72.8743127
26.91763,70.90387
25.7516651,71.3942989
25.343876,72.624222
24.88838,72.84794
25.7533643,73.3313249
26.44976,74.64116
26.177078,75.785415
25.43855,75.63735
25.34644,74.63523
25.0696179,73.8747045
24.585458,73.675068
23.84306,73.71466
23.54109,74.4425
24.869686,74.61614
25.1872418,75.8413191
25.1,76.51667
24.59676,76.16503
27.666667,88.5
27.3607071,88.1880025
27.333333,88.416667
27.333333,88.666667
13.2533992,80.0546267
12.8218767,79.6996851
12.9009299,79.0614844
12.145613,78.1132217
22.0,79.0
11.9129582,79.4675875
11.6469616,78.2106958
11.303389,78.118604
11.4905281,77.3505274
11.4454657,76.6986465
10.813579,77.0797777
10.326077,77.9851473
10.8217671,78.3828654
11.2902641,78.9300404
11.1530559,79.2585797
11.520207,79.3396356
11.1895598,79.69457
10.6878621,79.4979437
10.659037,79.2014278
10.2903072,78.8173617
9.8539716,78.4940832
9.9369266,78.007823
9.8692489,77.4225824
9.4926289,77.863169
9.5205576,78.5184635
8.8457035,77.9938178
8.72726,77.7164345
22.0,79.0
24.0715915,91.6025823
23.316526,91.555177
23.9551603,91.8252174
24.3898865,92.1577527
29.9554446,77.5598542
29.4786551,77.6970425
29.3843229,78.13645
28.8479828,78.766112
28.8076518,79.0143431
28.8651047,78.4696045
28.9832691,77.701102
28.9464293,77.2170076
28.6859053,77.4541484
28.5770068,77.3394731
22.0,79.0
27.889275,78.0710202
27.5996322,78.0497369
27.5591791,77.6817545
27.1704918,78.0106531
27.1605828,78.3878504
27.5562222,78.658988
27.2291335,79.0397389
28.027692,79.1254409
28.3615591,79.4163948
28.6305382,79.8163741
27.8556488,79.8950002
27.9459502,80.7837984
