Latitude,Longitude
27.5711997,80.6761895
27.3955482,80.1340641
22.0,79.0
26.8568041,80.9265762
27.3811564,79.6025777
22.0,79.0
26.7879984,79.0061831
26.5195433,79.5517538
22.0,79.0
25.991272,79.4553861
25.4593621,78.5777123
24.696247,78.4122428
25.9572127,80.1446414
25.292924,79.8848158
25.4892744,80.3350754
25.1963439,80.9136741
22.0,79.0
25.9221279,81.9986835
25.5254054,81.3811626
25.4392781,81.8285215
26.7779548,82.1420825
27.8712054,79.9135973
26.2627557,82.069966
27.5727464,81.6061932
22.0,79.0
27.4291173,82.1858051
27.1403341,81.9676517
22.0,79.0
26.8012683,82.7645387
22.0,79.0
27.1436733,83.5395965
26.7494212,83.3665766
26.8632735,83.9553228
26.4957761,83.7820199
26.0827457,83.1900376
25.9432027,83.5691249
25.7506229,84.1472
25.7592013,82.6968142
25.5822075,83.5819539
25.2585891,83.2735938
25.3511891,82.9855948
25.3300687,82.4654724
25.1544088,82.5771099
24.6466978,83.0585021
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
22.0,79.0
26.5304092,88.7269514
26.3217046,89.4463223
25.609905,88.132334
25.2465418,88.7816781
22.0,79.0
24.0891652,88.2591686
23.9158354,87.5170026
22.0,79.0
23.4056806,88.4913312
22.0,79.0
22.7556314,88.3429907
23.0662415,87.3251923
23.3409582,86.359433
22.2862349,87.9194091
22.5237937,88.3327225
